Prick,Royal Prick
Rubber,Rubber Nipple
Punch,Rum Punch
Rusty,Rusty Trombone
Safe,Safe Word
Sausage,Sausage Fest
Earth,Scorched Earth
Screw,Screwdriver
Secret,Secret Sauce
Dungeon,Sex Dungeon
Robot,Sex Robot
Brick,Shit a Brick
Stain,Shit Stain
Storm,Shit Storm
Wedding,Shotgun Wedding
Boob,Side Boob
Side,Side Chick
Silicone,Silicone Fist
Fox,Silver Fox
Orgasm,Simultaneous Orgasm
Queen,Size Queen
Skid,Skid Mark
Slim,Slim Thick
Slip,Slippery Nipple
Sloppy,Sloppy Joe
Bite,Snakebite
Snow,Snowball
Soap,Soap Scum
Sock,Sock Puppet
Sofa,Sofa King
Soft,Soft Serve
Bottom,Soggy Bottom
Son,Son of a Bitch
Whale,Sperm Whale
Spit,Spit Roast
Shine,Spit Shine
Brat,Spoiled Brat
Eagle,Spread- Eagle
Squat,Squat Thrust
Sticky,Sticky Fingers
Stiff,Stiff- Necked
Pinky,Stinky Pinky
Strap,Strap-On
Street,Street Pharmacist
Stretch,Strefch Marks
Tease,Striptease
Muffin,Studmuffin
Sugar,Sugar Mama
Shart,Surprise Shart
Swamp,Swamp Ass
Jar,Swear Jar
Club,Swingers Club
Sword,Sword Fight
Taint,Taint Tease
Tea,Teabag
Porn,Tentacle Porn
Thick,Thick Blunt
Thigh,Thigh High
Base,Third Base
Thirst,Thirst Trap
Song,Thong Song
Thot,Thot Shit
Thunder,Thunder Thighs
Tickle,Tickle Torture
Tight,Tight Ass
End,Tight End
Date,Tinder Date
Tit,Titmouse
Twister,Titty Twister
Bath,Tongue Bath
Tongue,Tongue Lashing
Salad,Tossed Salad
Tough,Tough Shit
Towel,Towel Off
Stamp,Tramp Stamp
Trash,Trash Talk
Trip,Tripping Balls
Truffle,Truffle Butter
Cut,Uncut
Unicorn,Unicorn Hunter
Monologue,Vagina Monologues
Vase,Vasectomy
Virgin,Virginity Pact
Shame,Walk of Shame
Jelly,Warming Jelly
Balloon,Water Balloon
Bed,Waterbed
Sport,Watersports
Knee,Weak Knees
Brownie,Weed Brownies
Pussy,Wet Ass Pussy
Dream,Wet Dream
Wet,Wet Spot
Wheel,Wheelbarrow
Whiskey,Whiskey Dick
Wine,Wine and Dine
Mom,Wine Mom
Paddle,Wooden Paddle
Yeast,Yeast Infection
Yoga,Yoga Queef
Cup,Cups Size
Chain,Daisy Chain
Throat,Deepthroat
Dam,Dental Dam
Devil,Devil's Advocate
Dong,Ding Dong
Berry,Dingleberry
Laundry,Dirty Laundry
Diva,DivaCup
Bar,Dive Bar
Dock,Docking
Double,Double Penetration
Fist,Double- Fisting
Bag,Douchebag
King,Drag King
Lizard,Drain the Lizard
Deuce,Drop a Deuce
Dry,Dry Martini
Truck,Dump Truck
Dumpster,Dumpster Dive
Oven,Dutch Oven
Worm,Earworm
Eat,Eat Out
Panties,Edible Panties
Tower,Eiffel Tower
Toothbrush,Electric Toothbrush
Bunny,Energizer Bunny
Erect,Erectile Dysfunction
Booger,Eye Booger
Face,Face-Sitting
